Référence	ContexteGauche	Pivot	ContexteDroit   [type="VERcjg" & word=".*et"]
roland	p. 110, v. 1290	produme ! » Et Engelers li Guascuinz de Burdele Sun cheval brochet, si li	laschet	la resne, Si vait ferir Escremiz de Valterne. L'escut del col li
roland	p. 110, v. 1292	, Si vait ferir Escremiz de Valterne. L'escut del col li freint e	escantelet	, De sun osberc li rompit la ventaille, Sil fiert el piz entre les
roland	p. 110, v. 1299	paien, Estorgans, Sur sun escut en la pene devant, Que tut li	trenchet	le vermeill e le blanc ; De sun osberc li ad rumput les pans,
roland	p. 110, v. 1301	le blanc ; De sun osberc li ad rumput les pans, El cors li	met	sun bon espiet trechant, Que mort l'abat de sun cheval curant. Aprés
roland	p. 112, v. 1313	mult vaillant chevalers, E bels e forz e isnels e legers. Le cheval	brochet	, vait ferir Oliver. L'escut li freint suz la bucle d'or mer
roland	p. 112, v. 1317	. Deus le guarit, qu'ell cors ne l'ad tuchet. La hanste	fruisset	, mie n'en abatiet. Ultre s'en vait, qu'il n'i
roland	p. 112, v. 1317	qu'ell cors ne l'ad tuchet. La hanste fruisset, mie n'en	abatiet	. Ultre s'en vait, qu'il n'i ad desturber ; Sunet sun
roland	p. 112, v. 1319	en abatiet. Ultre s'en vait, qu'il n'i ad desturber ;	Sunet	sun gresle pur les soens ralier. La bataille est merveilluse e cumune. Li
roland	p. 112, v. 1321	ralier. La bataille est merveilluse e cumune. Li quens Rollant mie ne s'	asoüret	, Fiert de l'espiet tant cume hanste li duret ; A.XV. cols l'
roland	p. 112, v. 1322	quens Rollant mie ne s'asoüret, Fiert de l'espiet tant cume hanste li	duret	; A.XV. cols l'ad fraite e perdue ; Trait Durendal, sa bone
roland	p. 112, v. 1325	fraite e perdue ; Trait Durendal, sa bone espee, nue, Sun cheval	brochet	, si vait ferir Chernuble. L'elme li freint u li carbuncle luisent,
roland	p. 112, v. 1327	, si vait ferir Chernuble. L'elme li freint u li carbuncle luisent,	Trenchet	le cors e la cheveleüre, Si li trenchat les oilz e la faiture,
roland	p. 112, v. 1333	sele, ki est a or batue, El cheval est l'espee aresteüe ;	Trenchet	l'eschine, hunc n'i out quis jointure, Tut abat mort el pred
roland	p. 114, v. 1338	glutun n'ert bataille oi vencue. » Li quens Rollant par mi le champ	chevalchet	, Tient Durendal, ki ben trenchet e taillet, Des Sarrazins lur fait mult
roland	p. 114, v. 1339	» Li quens Rollant par mi le champ chevalchet, Tient Durendal, ki ben	trenchet	e taillet, Des Sarrazins lur fait mult grant damage. Ki lui veïst l'
roland	p. 114, v. 1339	quens Rollant par mi le champ chevalchet, Tient Durendal, ki ben trenchet e	taillet	, Des Sarrazins lur fait mult grant damage. Ki lui veïst l'un geter
roland	p. 114, v. 1345	Sun bon cheval le col e les espalles. E Oliver de ferir ne se	target	, Li.XII. per n'en deivent aveir blasme, E li Franceis i fierent
roland	p. 114, v. 1350	i pasment. Dist l'arcevesque : « Ben ait nostre barnage ! » Munjoie	escriet	, ço est l'enseigne Carle. AOI. E Oliver chevalchet par l'estor
roland	p. 114, v. 1351	! » Munjoie escriet, ço est l'enseigne Carle. AOI. E Oliver	chevalchet	par l'estor, Sa hanste est fraite, n'en ad que un trunçun
roland	p. 114, v. 1355	freint, ki est ad or e a flur, Fors de la teste li	met	les oilz ansdous, E la cervele li chet as piez desuz ; Mort le
roland	p. 114, v. 1356	, Fors de la teste li met les oilz ansdous, E la cervele li	chet	as piez desuz ; Mort le tresturnet od tut.VII. C. des lur ; Pois
roland	p. 114, v. 1357	les oilz ansdous, E la cervele li chet as piez desuz ; Mort le	tresturnet	od tut.VII. C. des lur ; Pois ad ocis Turgis e Esturguz : La
roland	p. 114, v. 1359	tut.VII. C. des lur ; Pois ad ocis Turgis e Esturguz : La hanste	briset	e esclicet josqu'as poinz. Ço dist Rollant : « Cumpainz, que faites
roland	p. 114, v. 1359	C. des lur ; Pois ad ocis Turgis e Esturguz : La hanste briset e	esclicet	josqu'as poinz. Ço dist Rollant : « Cumpainz, que faites vos ?
roland	p. 116, v. 1372	, Justin de Val Ferree. Tute la teste li ad par mi sevree,	Trenchet	le cors e la bronie safree, La bone sele, ki a or est
roland	p. 116, v. 1377	Ço dist Rollant : « Vos reconois jo, frere ! Por itels colps nos	eimet	li emperere. » De tutes parz est Munjoie escriee. AOI. Li quens
roland	p. 116, v. 1379	emperere. » De tutes parz est Munjoie escriee. AOI. Li quens Gerins	set	el ceval Sorel E sis cumpainz Gerers en Passecerf. Laschent lor reisnes, brochent
roland	p. 116, v. 1404	cels de France ki as porz les atendent. AOI. Karles li magnes en	pluret	, si se demente. De ço qui calt ? N'en avrunt sucurance,
roland	p. 118, v. 1419	en fuit de mort n'i ad guarent ; Voillet o nun, tut i	laisset	sun tens. Franceis i perdent lor meillors guarnemenz. Ne reverrunt lor peres ne
roland	p. 120, v. 1458	compaign, frere, Guenes li fels ad nostre mort juree. La traïsun ne	poet	estre celee ; Mult grant venjance en prendrat l'emperere. Bataille avrum e forte
roland	p. 122, v. 1469	gent le martirie, Si fait suner ses cors e ses buisines, Puis si	chevalchet	od sa grant ost banie. Devant chevalchet un Sarrazin, Abisme : Plus fel
roland	p. 122, v. 1470	cors e ses buisines, Puis si chevalchet od sa grant ost banie. Devant	chevalchet	un Sarrazin, Abisme : Plus fel de lui n'out en sa cumpagnie.
roland	p. 122, v. 1475	le filz seinte Marie ; Issi est neirs cume peiz ki est demise ; Plus	aimet	il traïsun e murdrie Qu'il ne fesist trestut l'or de Galice ; Unches
roland	p. 122, v. 1480	mult grant estultie, Por ço est drud al felun rei Marsilie. Sun dragun	portet	a qui sa gent s'alient. Li arcevesque ne l'amerat ja mie ;
roland	p. 122, v. 1482	arcevesque ne l'amerat ja mie ; Cum il le vit, a ferir le	desiret	. Mult quiement le dit a sei meïsme : « Cel Sarrazin me semblet mult
roland	p. 122, v. 1484	le desiret. Mult quiement le dit a sei meïsme : « Cel Sarrazin me	semblet	mult herite ; Mielz est mult que jo l'alge ocire. Unches n'amai
roland	p. 122, v. 1487	alge ocire. Unches n'amai cuard ne cuardie. » AOI. Li arcevesque	cumencet	la bataille. Siet el cheval qu'il tolit a Grossaille, Ço ert uns
roland	p. 122, v. 1488	n'amai cuard ne cuardie. » AOI. Li arcevesque cumencet la bataille.	Siet	el cheval qu'il tolit a Grossaille, Ço ert uns reis qu'il ocist
roland	p. 124, v. 1497	teste tute falve ; Beste nen est nule ki encontre lui alge. Li arcevesque	brochet	, par tant grant vasselage ! Ne laisserat qu'Abisme nen asaillet. Vait le
roland	p. 124, v. 1498	. Li arcevesque brochet, par tant grant vasselage ! Ne laisserat qu'Abisme nen	asaillet	. Vait le ferir en l'escut amiracle : Pierres i ad, ametistes e
roland	p. 124, v. 1504	Si li tramist li amiralz Galafes. Turpins i fiert, ki nient ne l'	esparignet	, Enprés sun colp ne quid que un dener vaillet, Le cors li trenchet
roland	p. 124, v. 1505	, ki nient ne l'esparignet, Enprés sun colp ne quid que un dener	vaillet	, Le cors li trenchet trés l'un costet qu'a l'altre, Que
roland	p. 124, v. 1506	esparignet, Enprés sun colp ne quid que un dener vaillet, Le cors li	trenchet	trés l'un costet qu'a l'altre, Que mort l'abat en une
roland	p. 126, v. 1534	ço dit, metrat a hunte, A l'emperere si toldrat la curone.	Siet	el ceval qu'il cleimet Barbamusche, Plus est isnels que esprever ne arunde.
roland	p. 126, v. 1534	hunte, A l'emperere si toldrat la curone. Siet el ceval qu'il	cleimet	Barbamusche, Plus est isnels que esprever ne arunde. Brochet le bien, le
roland	p. 126, v. 1536	el ceval qu'il cleimet Barbamusche, Plus est isnels que esprever ne arunde.	Brochet	le bien, le frein li abandunet, Si vait ferir Engeler de Guascoigne.
roland	p. 126, v. 1536	Plus est isnels que esprever ne arunde. Brochet le bien, le frein li	abandunet	, Si vait ferir Engeler de Guascoigne. Nel poet guarir sun escut ne sa
roland	p. 126, v. 1538	bien, le frein li abandunet, Si vait ferir Engeler de Guascoigne. Nel	poet	guarir sun escut ne sa bronie : De sun espiet el cors li met la
roland	p. 126, v. 1539	Nel poet guarir sun escut ne sa bronie : De sun espiet el cors li	met	la mure, Empeint le ben, tut le fer li mist ultre, Pleine
roland	p. 126, v. 1541	, tut le fer li mist ultre, Pleine sa hanste el camp mort le	tresturnet	. Aprés escriet : « Cist sunt bon a cunfundre ! Ferez, paien,
roland	p. 126, v. 1542	fer li mist ultre, Pleine sa hanste el camp mort le tresturnet. Aprés	escriet	: « Cist sunt bon a cunfundre ! Ferez, paien, pur la presse
roland	p. 126, v. 1545	« Deus, quel doel de prodome ! » AOI. Li quens Rollant en	apelet	Oliver : « Sire cumpainz, ja est morz Engeler ; Nus n'avïum plus
roland	p. 126, v. 1549	» Respont li quens : « Deus le me doinst venger ! » Sun cheval	brochet	des esperuns d'or mier, Tient Halteclere, sanglent en est l'acer,
roland	p. 126, v. 1552	, Par grant vertut vait ferir le paien. Brandist sun colp e li Sarrazins	chiet	; L'anme de lui en portent aversers. Puis ad ocis le duc Alphaïen
roland	p. 126, v. 1561	a preiser. Pur itels colps nos ad Charles plus cher. » A voiz	escriet	: « Ferez i, chevaler ! » AOI. D'altre part est un
roland	p. 128, v. 1571	ot fïance del cunte Guenelon : Il li dunat s'espee e mil manguns.	Siet	el cheval qu'il cleimet Gramimund, Plus est isnels que nen est uns falcuns
roland	p. 128, v. 1571	: Il li dunat s'espee e mil manguns. Siet el cheval qu'il	cleimet	Gramimund, Plus est isnels que nen est uns falcuns. Brochet le bien des
roland	p. 128, v. 1573	cheval qu'il cleimet Gramimund, Plus est isnels que nen est uns falcuns.	Brochet	le bien des aguz esperuns, Si vait ferir li riche duc Sansun. L'
roland	p. 128, v. 1576	Sansun. L'escut li freint e l'osberc li derumpt, El cors li	met	les pans del gunfanun, Pleine sa hanste l'abat mort des arçuns : «
roland	p. 128, v. 1582	veit Sansun mort, Poëz saveir que mult grant doel en out. Sun ceval	brochet	, si li curt ad esforz. Tient Durendal, qui plus valt que fin
roland	p. 128, v. 1586	, quanque il pout, Desur sun elme, ki gemmet fut ad or,	Trenchet	la teste e la bronie e le cors, La bone sele, ki est
roland	p. 128, v. 1597	sunt tut a or batud : Cuntre le ciel sur tuz les altres luist.	Siet	el ceval qu'il cleimet Salt Perdut : Beste nen est ki poisset curre a
roland	p. 128, v. 1597	: Cuntre le ciel sur tuz les altres luist. Siet el ceval qu'il	cleimet	Salt Perdut : Beste nen est ki poisset curre a lui. Il vait ferir
roland	p. 128, v. 1598	luist. Siet el ceval qu'il cleimet Salt Perdut : Beste nen est ki	poisset	curre a lui. Il vait ferir Anseïs en l'escut : Tut li trenchat
roland	p. 130, v. 1602	l'azur ; De sun osberc li ad les pans rumput, El cors li	met	e le fer e le fust ; Morz est li quens, de sun tens
roland	p. 130, v. 1615	part est un paien, Grandonies, Filz Capuel, le rei de Capadoce.	Siet	el cheval que il cleimet Marmorie, Plus est isnels que n'est oisel ki
roland	p. 130, v. 1615	Grandonies, Filz Capuel, le rei de Capadoce. Siet el cheval que il	cleimet	Marmorie, Plus est isnels que n'est oisel ki volet. Laschet la resne
roland	p. 130, v. 1616	el cheval que il cleimet Marmorie, Plus est isnels que n'est oisel ki	volet	. Laschet la resne, des esperuns le brochet, Si vait ferir Gerin par
roland	p. 130, v. 1617	que il cleimet Marmorie, Plus est isnels que n'est oisel ki volet.	Laschet	la resne, des esperuns le brochet, Si vait ferir Gerin par sa grant
roland	p. 130, v. 1617	isnels que n'est oisel ki volet. Laschet la resne, des esperuns le	brochet	, Si vait ferir Gerin par sa grant force. L'escut vermeill li freint
roland	p. 130, v. 1619	Gerin par sa grant force. L'escut vermeill li freint, de col li	portet	; Aprof li ad sa bronie desclose, El cors li met tute l'enseingne
roland	p. 130, v. 1621	de col li portet ; Aprof li ad sa bronie desclose, El cors li	met	tute l'enseingne bloie, Que mort l'abat en une halte roche. Sun
roland	p. 130, v. 1631	Ben ad oït que Franceis se dementent ; Si grant doel ad que par mi	quïet	fendre ; Dist al paien : « Deus tut mal te consente ! Tel as
roland	p. 130, v. 1634	consente ! Tel as ocis que mult cher te quid vendre ! » Sun ceval	brochet	, ki oït del cuntence. Ki quel cumpert, venuz en sunt ensemble.
roland	p. 132, v. 1642	e al cors qu'il out gent E al reguart e al contenement : Ne	poet	müer qu'il ne s'en espaent. Fuïr s'en voel, mais ne
roland	p. 132, v. 1646	Li quens le fiert tant vertuusement Tresqu'al nasel tut le elme li fent,	Trenchet	le nes e la buche e les denz, Trestut le cors e l'osberc
roland	p. 132, v. 1657	vestemenz entresque as chars vives. Sur l'herbe verte li cler sancs s'en	afilet	: « Tere Major, Mahumet te maldie ! Sur tute gent est la tue
roland	p. 132, v. 1661	Sur tute gent est la tue hardie. » Cel nen i ad ki ne	criet	: « Marsilie ! Cevalche, rei, Bosuign avum d'aïe ! » La
roland	p. 134, v. 1671	le camp. Par vive force les encacerent Franc. AOI. Li quens Rollant	apelet	Oliver : « Sire cumpaign, sel volez otrier, Li arcevesque est mult bon
roland	p. 134, v. 1675	mult bon chevaler, N'en ad meillor en tere ne suz cel ; Ben	set	ferir e de lance e d'espiet. » Respunt li quens : « Kar
roland	p. 134, v. 1683	arcevesque i fiert de sun espiet. Cels qu'il unt mort, ben les	poet	hom preiser, Il est escrit es cartres e es brefs, Ço dit la
roland	p. 134, v. 1692	. Li quens Rollant des soens i veit grant perte, Sun cumpaignun Oliver en	apelet	: « Bel sire, chers cumpainz, pur Deu, que vos en haitet
roland	p. 134, v. 1693	apelet : « Bel sire, chers cumpainz, pur Deu, que vos en	haitet	? Tanz bons vassals veez gesir par tere ! Pleindre poüms France dulce, la
roland	p. 138, v. 1738	gref la departie. » AOI. Li arcevesques les ot cuntrarïer, Le cheval	brochet	des esperuns d'or mer, Vint tresqu'a els, sis prist a castïer
roland	p. 138, v. 1744	li corners ne nos avreit mester, Mais nepurquant si est il asez melz :	Venget	li reis, si nus purrat venger ; Ja cil d'Espaigne ne s'en
roland	p. 138, v. 1754	mis l'olifan a sa buche, Empeint le ben, par grant vertut le	sunet	. Halt sunt li pui e la voiz est mult lunge, Granz.XXX. liwes
roland	p. 140, v. 1762	AOI. Li quens Rollant, par peine e par ahans, Par grant dulor	sunet	sun olifan. Par mi la buche en salt fors li cler sancs. De
roland	p. 140, v. 1774	enfant. Asez savez le grant orgoill Rollant ; Ço est merveille que Deus le	soefret	tant. Ja prist il Noples seinz le vostre comant ; Fors s'en eissirent
roland	p. 140, v. 1787	la buche sanglente, De sun cervel rumput en est li temples. L'olifan	sunet	a dulor e a peine. Karles l'oït e ses Franceis l'entendent.
roland	p. 140, v. 1792	i ad, par le men escïentre. Cil l'at traït ki vos en	roevet	feindre. Adubez vos, si criez vostre enseigne, Si sucurez vostre maisnee gente
roland	p. 142, v. 1795	criez vostre enseigne, Si sucurez vostre maisnee gente : Asez oez que Rollant se	dementet	! » Li empereres ad fait suner ses corns. Franceis descendent, si adubent
roland	p. 142, v. 1812	sunt peinz a flurs, E cil espiez, cil oret gunfanun. Li empereres	cevalchet	par irur E li Franceis dolenz e curoçus ; N'i ad celoi ki durement
roland	p. 142, v. 1818	Guenelun, Sil cumandat as cous de sa maisun. Tut li plus maistre en	apelet	, Besgun : « Ben le me guarde, si cume tel felon ! De
roland	p. 142, v. 1821	! De ma maisnee ad faite traïsun. » Cil le receit, s'i	met	.C. cumpaignons De la quisine, des mielz e des peiurs. Icil li peilent
roland	p. 144, v. 1834	cil graisle e derere e devant E tuit rachatent encuntre l'olifant. Li empereres	chevalchet	ireement E li Franceis curuçus e dolent ; N'i ad celoi n'i plurt
roland	p. 144, v. 1837	i ad celoi n'i plurt e se dement, E prient Deu qu'il	guarisset	Rollant Josque il vengent el camp cumunement : Ensembl'od lui i ferrunt veirement.
roland	p. 144, v. 1842	Demurent trop, n'i poedent estre a tens. AOI. Par grant irur	chevalchet	li reis Charles ; Desur sa brunie li gist sa barbe blanche. Puignent ad
roland	p. 144, v. 1851	sa cumpaigne ! Unches meillurs n'en out reis ne cataignes. AOI. Rollant	reguardet	es munz e es lariz ; De cels de France i veit tanz morz gesir
roland	p. 144, v. 1853	lariz ; De cels de France i veit tanz morz gesir, E il les	pluret	cum chevaler gentill : « Seignors barons, de vos ait Deus mercit ! Tutes
roland	p. 144, v. 1856	Deus mercit ! Tutes voz anmes otreit il pareïs, En saintes flurs il les	facet	gesir ! Meillors vassals de vos unkes ne vi. Si lungement tuz tens m'
roland	p. 146, v. 1873	E.XXIIII. de tuz les melz preisez : Ja mais n'iert home plus se	voeillet	venger. Si cum li cerfs s'en vait devant les chiens, Devant Rollant
roland	p. 146, v. 1878	arcevesque : « Asez le faites ben ! Itel valor deit aveir chevaler Ki armes	portet	e en bon cheval set : En bataille deit estre forz e fiers, U
roland	p. 146, v. 1878	faites ben ! Itel valor deit aveir chevaler Ki armes portet e en bon cheval	set	: En bataille deit estre forz e fiers, U altrement ne valt.IIII. deners
roland	p. 146, v. 1886	unt Francs recumencet. Mult grant damage i out de chrestïens. Home ki ço	set	que ja n'avrat prisun En tel bataill fait grant defensïon : Pur ço sunt
roland	p. 146, v. 1890	sunt Francs si fiers cume leuns. As vus Marsilie en guise de barunt.	Siet	el cheval qu'il apelet Gaignun, Brochet le ben, si vait ferir Bevon
roland	p. 146, v. 1890	leuns. As vus Marsilie en guise de barunt. Siet el cheval qu'il	apelet	Gaignun, Brochet le ben, si vait ferir Bevon : Icil ert sire de
roland	p. 146, v. 1891	vus Marsilie en guise de barunt. Siet el cheval qu'il apelet Gaignun,	Brochet	le ben, si vait ferir Bevon : Icil ert sire de Belne e de
roland	p. 150, v. 1944	« L'empereor ad tort. » Li Marganices sist sur un ceval sor,	Brochet	le ben des esperuns a or, Fiert Oliver derere en mi le dos.
roland	p. 150, v. 1955	Fiert Marganices sur l'elme a or, agut, E flurs e cristaus en	acraventet	jus ; Trenchet la teste d'ici qu'as denz menuz, Brandist sun colp
roland	p. 150, v. 1956	l'elme a or, agut, E flurs e cristaus en acraventet jus ;	Trenchet	la teste d'ici qu'as denz menuz, Brandist sun colp, si l'
roland	p. 150, v. 1964	aies tolut, Ne fait damage ne de mei ne d'altrui. » Aprés	escriet	Rollant qu'il li aiut. AOI. Oliver sent qu'il est a mort
roland	p. 152, v. 1968	ne li ert sez. En la grant presse or i fiert cume ber,	Trenchet	cez hanstes e cez escuz buclers E piez e poinz e seles e costez.
roland	p. 152, v. 1974	vassal li poüst remembrer. L'enseigne Carle n'i volt mie ublïer : Munjoie	escriet	e haltement e cler ; Rollant apelet, sun ami e sun per : «
roland	p. 152, v. 1975	Carle n'i volt mie ublïer : Munjoie escriet e haltement e cler ; Rollant	apelet	, sun ami e sun per : « Sire cumpaign, a mei car vus
roland	p. 152, v. 1978	car vus justez ! A grant dulor ermes hoi desevrez. » AOI. Rollant	reguardet	Oliver al visage ; Teint fut e pers, desculuret e pale. Li sancs
roland	p. 152, v. 1980	pers, desculuret e pale. Li sancs tuz clers par mi le cors li	raiet	; Encuntre tere en cheent les esclaces. « Deus, dist li quens,
roland	p. 152, v. 1984	Sire cumpainz, mar fut vostre barnage ! Jamais n'iert hume ki tun cors	cuntrevaillet	. E ! France dulce, cun hoi remendras guaste De bons vassals, cunfundue
roland	p. 152, v. 1988	Li emperere en avrat grant damage. » A icest mot sur sun cheval se	pasmet	. AOI. As vus Rollant sur sun cheval pasmet E Oliver ki est a
roland	p. 152, v. 1992	. Tant ad seinet li oil li sunt trublet. Ne loinz ne prés ne	poet	vedeir si cler Que reconoistre poisset nuls hom mortel. Sun cumpaignun, cum il
roland	p. 152, v. 1993	li sunt trublet. Ne loinz ne prés ne poet vedeir si cler Que reconoistre	poisset	nuls hom mortel. Sun cumpaignun, cum il l'at encuntret, Sil fiert
roland	p. 152, v. 1996	at encuntret, Sil fiert amunt sur l'elme a or gemet, Tut li	detrenchet	d'ici qu'al nasel ; Mais en la teste ne l'ad mie adeset
roland	p. 154, v. 1999	l'ad mie adeset. A icel colp l'ad Rollant reguardet, Si li	demandet	dulcement e suef : « Sire cumpain, faites le vos de gred ? Ja
roland	p. 154, v. 2010	Par tel amur as les vus desevred. Oliver sent que la mort mult l'	angoisset	. Ansdous les oilz en la teste li turnent, L'oïe pert e la
roland	p. 154, v. 2013	oïe pert e la veüe tute ; Descent a piet, a la tere se	culchet	, Durement en halt si recleimet sa culpe, Cuntre le ciel ambesdous ses mains
roland	p. 154, v. 2014	; Descent a piet, a la tere se culchet, Durement en halt si	recleimet	sa culpe, Cuntre le ciel ambesdous ses mains juintes, Si priet Deu que
roland	p. 154, v. 2016	halt si recleimet sa culpe, Cuntre le ciel ambesdous ses mains juintes, Si	priet	Deu que pareïs li dunget E beneïst Karlun e France dulce, Sun cumpaignun Rollant
roland	p. 154, v. 2016	, Cuntre le ciel ambesdous ses mains juintes, Si priet Deu que pareïs li	dunget	E beneïst Karlun e France dulce, Sun cumpaignun Rollant sur tuz humes. Falt
roland	p. 154, v. 2019	Sun cumpaignun Rollant sur tuz humes. Falt li le coer, le helme li	embrunchet	, Trestut le cors a la tere li justet. Morz est li quens,
roland	p. 154, v. 2020	le coer, le helme li embrunchet, Trestut le cors a la tere li	justet	. Morz est li quens, que plus ne se demuret. Rollant li ber
roland	p. 154, v. 2021	a la tere li justet. Morz est li quens, que plus ne se	demuret	. Rollant li ber le pluret, sil duluset ; Ja mais en tere n'
roland	p. 154, v. 2022	Morz est li quens, que plus ne se demuret. Rollant li ber le	pluret	, sil duluset ; Ja mais en tere n'orrez plus dolent hume. Or
roland	p. 154, v. 2022	quens, que plus ne se demuret. Rollant li ber le pluret, sil	duluset	; Ja mais en tere n'orrez plus dolent hume. Or veit Rollant que
roland	p. 156, v. 2031	tu es mor, dulur est que jo vif. » A icest mot se	pasmet	li marchis Sur sun ceval que cleimet Veillantif. Afermet est a ses estreus d'
roland	p. 156, v. 2032	jo vif. » A icest mot se pasmet li marchis Sur sun ceval que	cleimet	Veillantif. Afermet est a ses estreus d'or fin : Quel part qu'il
roland	p. 156, v. 2034	est a ses estreus d'or fin : Quel part qu'il alt, ne	poet	mie chaïr. Ainz que Rollant se seit aperceüt, De pasmeisuns guariz ne revenuz
roland	p. 156, v. 2043	s'i est cumbatuz ; Mort sunt si hume, sis unt paiens vencut ;	Voeillet	o nun, desuz cez vals s'en fuit, Si reclaimet Rollant, qu'
roland	p. 156, v. 2044	paiens vencut ; Voeillet o nun, desuz cez vals s'en fuit, Si	reclaimet	Rollant, qu'il li aiut : « E ! gentilz quens, vaillanz hom
roland	p. 156, v. 2055	me sui vendut. » A icel mot l'at Rollant entendut ; Le cheval	brochet	, si vient poignant vers lui. AOI. Rollant ad doel, si fut
roland	p. 158, v. 2057	. AOI. Rollant ad doel, si fut maltalentifs ; En la grant presse	cumencet	a ferir. De cels d'Espaigne en ad getet mort.XX., E Gualter
roland	p. 158, v. 2082	; Dedesuz lui ocient sun destrer. Or est grant doel, quant l'arcevesque	chiet	. AOI. Turpins de Reins, quant se sent abatut, De.IIII. espiez
roland	p. 158, v. 2086	.IIII. espiez par mi le cors ferut, Isnelement li ber resailit sus ; Rollant	reguardet	, puis si li est curut, E dist un mot : « Ne sui
roland	p. 158, v. 2092	Puis le dist Carles qu'il n'en esparignat nul : Tels.IIII. cenz i	troevet	entur lui, Alquanz nafrez, alquanz par mi ferut, S'i out d'
roland	p. 160, v. 2098	fait vertuz, E fist la chartre el muster de Loüm. Ki tant ne	set	, ne l'ad prod entendut. Li quens Rollant gentement se cumbat, Mais
roland	p. 160, v. 2115	altre : « Karlun avrum nus ja ! » Dient paien : « L'emperere	repairet	: AOI. De cels de France oëz suner les graisles ! Se Carles vient
roland	p. 160, v. 2118	Carles vient, de nus i avrat perte. Se Rollant vit, nostre guerre	novelet	, Perdud avuns Espaigne, nostre tere. » Tels.IIII. cenz s'en asemblent
roland	p. 162, v. 2127	fort e fier e maneviz ! Ne lur lerat tant cum il serat vif.	Siet	el cheval qu'om cleimet Veillantif, Brochet le bien des esperuns d'or fin
roland	p. 162, v. 2127	! Ne lur lerat tant cum il serat vif. Siet el cheval qu'om	cleimet	Veillantif, Brochet le bien des esperuns d'or fin, En la grant presse
roland	p. 162, v. 2128	lerat tant cum il serat vif. Siet el cheval qu'om cleimet Veillantif,	Brochet	le bien des esperuns d'or fin, En la grant presse les vait tuz
roland	p. 162, v. 2133	vus traiez, ami ! De cels de France les corns avuns oït : Carles	repairet	, li reis poësteïfs. » Li quens Rollant unkes n'amat cuard, Ne
roland	p. 162, v. 2145	» Dist l'arcevesque : « Fel seit ki ben n'i ferrat ! Carles	repairet	, ki ben nus vengerat. » Paien dient : « Si mare fumes nez
roland	p. 162, v. 2149	jurz nus est hoi ajurnez ! Perdut avum noz seignurs e noz pers ; Carles	repeiret	od sa grant ost, li ber ; De cels de France odum les graisles
roland	p. 164, v. 2168	quens Rollant nes ad dunt encalcer : Perdut i ad Veillantif, sun destrer ;	Voellet	o nun, remés i est a piet. A l'arcevesque Turpin alat aider
roland	p. 164, v. 2184	camp est vostre, mercit Deu, vostre e mien. » Rollant s'en	turnet	, par le camp vait tut suls, Cercet les vals e si cercet les
roland	p. 164, v. 2185	mien. » Rollant s'en turnet, par le camp vait tut suls,	Cercet	les vals e si cercet les munz. Iloec truvat Gerin e Gerer sun cumpaignun
roland	p. 164, v. 2185	en turnet, par le camp vait tut suls, Cercet les vals e si	cercet	les munz. Iloec truvat Gerin e Gerer sun cumpaignun, E si truvat Berenger
roland	p. 164, v. 2193	venuz a tut, Sis mist en reng dedevant ses genuilz. Li arcevesque ne	poet	muer n'en plurt, Lievet sa main, fait sa beneïçun. Aprés ad
roland	p. 164, v. 2194	en reng dedevant ses genuilz. Li arcevesque ne poet muer n'en plurt,	Lievet	sa main, fait sa beneïçun. Aprés ad dit : « Mare fustes,
roland	p. 164, v. 2197	fustes, seignurs ! Tutes voz anmes ait Deus li Glorius, En pareïs les	metet	en sentes flurs ! La meie mort me rent si anguissus ! Ja ne verrai
roland	p. 166, v. 2200	rent si anguissus ! Ja ne verrai le riche empereür. » Rollant s'en	turnet	, le camp vait recercer, Sun cumpaignun ad truvet, Oliver. Encuntre sun
roland	p. 166, v. 2203	truvet, Oliver. Encuntre sun piz estreit l'ad embracet ; Si cum il	poet	a l'arcevesque en vent, Sur un escut l'ad as altres culchet,
roland	p. 166, v. 2206	ad as altres culchet, E l'arcevesque l'ad asols e seignet. Idunc	agreget	le doel e la pitet. Ço dit Rollant : « Bels cumpainz Oliver,
roland	p. 166, v. 2217	ses pers E Oliver, qu'il tant poeit amer, Tendrur en out,	cumencet	a plurer. En sun visage fut mult desculurez ; Si grant doel out que
roland	p. 166, v. 2220	visage fut mult desculurez ; Si grant doel out que mais ne pout ester :	Voeillet	o nun, a tere chet pasmet. Dist l'arcevesque : « Tant mare
roland	p. 166, v. 2220	grant doel out que mais ne pout ester : Voeillet o nun, a tere	chet	pasmet. Dist l'arcevesque : « Tant mare fustes, ber ! » Li
roland	p. 166, v. 2227	; Aler i volt, sin durrat a Rollant. Sun petit pas s'en	turnet	cancelant. Il est si fieble qu'il ne poet en avant ; N'en
roland	p. 168, v. 2228	Sun petit pas s'en turnet cancelant. Il est si fieble qu'il ne	poet	en avant ; N'en ad vertut, trop ad perdut del sanc. Einz
roland	p. 168, v. 2234	i vait mult angoissant. Li quens Rollant revient de pasmeisuns : Sur piez se	drecet	, mais il ad grant dulur. Guardet aval e si guardet amunt : Sur
roland	p. 168, v. 2235	revient de pasmeisuns : Sur piez se drecet, mais il ad grant dulur.	Guardet	aval e si guardet amunt : Sur l'erbe verte, ultre ses cumpaignuns,
